title,nb_avis,notes_moyennes,note_max,note_min,ecart-type,nb_commentaires
Hades Trap,2,8.5,10.0,7.0,1.5,2
Concordia Vénus,17,9.117647058823529,10.0,8.0,0.8998269729869619,17
Battle Line Médiéval,42,8.380952380952381,10.0,6.0,1.1328930717495542,42
Orléans Stories,3,8.0,9.0,7.0,0.816496580927726,3
7 Wonders édition 2020,126,8.476190476190476,10.0,4.0,1.337578276684585,126
Ménestrels,9,6.444444444444445,10.0,3.0,1.7708197167232476,9
Spy Club,7,9.0,10.0,8.0,0.5345224838248488,7
Saline,16,8.5625,10.0,7.0,1.1709371246996996,16
Mon Royaume pour un conte,6,7.833333333333333,10.0,2.0,2.6718699236468995,6
Istanbul Big Box,11,8.363636363636363,9.0,8.0,0.4810456929208346,11
Unlock! Star Wars,60,6.666666666666667,10.0,2.0,1.876758434701233,60
Le Gant d'infinité : Un jeu Love Letter,22,6.954545454545454,10.0,3.0,1.5514589241705465,22
Glasgow,19,8.105263157894736,10.0,6.0,1.118962717129963,19
Oceans (Édition Limitée),34,7.617647058823529,10.0,1.0,1.5720856488109143,34
Révolution,8,7.625,10.0,2.0,2.6427968139832467,8
ATLANTES,42,7.357142857142857,10.0,2.0,1.630387458644761,42
Dragon Master,7,7.571428571428571,8.0,7.0,0.4948716593053935,7
Dinogenics (VF),19,8.631578947368421,10.0,7.0,1.036721873873274,19
Top Ten,116,8.21551724137931,10.0,1.0,1.4727761405072946,116
Cities Skylines,12,7.25,10.0,6.0,1.0897247358851685,12
Munchkin Donjon,7,7.571428571428571,10.0,4.0,1.6781914463529617,7
Infinity CodeOne,1,10.0,10.0,10.0,0.0,1
Non Merci,159,7.591194968553459,10.0,3.0,1.7382628373025215,159
Call to Adventure (Édition française),27,6.666666666666667,10.0,3.0,1.6101529717988265,27
Villainous : La fin est proche !,14,8.785714285714286,10.0,7.0,0.8601138984851638,14
Les Aventuriers du Rail - Amsterdam,7,7.0,9.0,6.0,0.9258200997725514,7
Parks,92,8.021739130434783,10.0,2.0,1.3511529768052453,92
Paladins du Royaume de l'Ouest,31,8.516129032258064,10.0,5.0,1.3166665569005516,31
Divercité,4,9.0,10.0,8.0,0.7071067811865476,4
Horreur à Arkham 3e Édition,27,7.962962962962963,10.0,2.0,1.7739155577523031,27
Railroad Ink : Rouge Ardent,7,8.428571428571429,10.0,7.0,1.178030178747903,7
Palm Island,77,7.883116883116883,10.0,4.0,1.5371928030052255,77
Railroad Ink : Grand Bleu,13,7.538461538461538,10.0,4.0,1.8652854850741756,13
"TWIN IT édition ""Jeux de Société""",4,6.5,7.0,6.0,0.5,4
Brass : Lancashire,16,8.9375,10.0,6.0,1.1439378261076953,16
Roll Player,19,7.473684210526316,10.0,5.0,1.2718995761678495,19
First Martians,8,7.125,10.0,2.0,2.2043990110685496,8
Age of Steam - Deluxe Edition,3,9.666666666666666,10.0,9.0,0.4714045207910317,3
Ballons,1,8.0,8.0,8.0,0.0,1
Luna (Deluxified Edition),2,8.5,10.0,7.0,1.5,2
Pictomania,3,6.333333333333333,7.0,6.0,0.4714045207910317,3
La Cour des Miracles,22,7.136363636363637,10.0,2.0,1.9139548428570274,22
Imhotep - Le Duel,18,7.166666666666667,10.0,1.0,1.8633899812498247,18
Gunny Town,3,7.666666666666667,8.0,7.0,0.4714045207910317,3
Le Roi Sommeil,6,7.333333333333333,8.0,6.0,0.7453559924999298,6
Sagrada extension 5 & 6 joueurs,2,9.5,10.0,9.0,0.5,2
Condottiere,9,8.88888888888889,10.0,8.0,0.7370277311900889,9
Ice Team,16,8.0,10.0,5.0,1.4142135623730951,16
Insider インサイダー・ゲーム,38,7.473684210526316,10.0,3.0,1.697317420694431,38
Yōkai,38,7.605263157894737,10.0,2.0,1.8572684198519884,38
Discovery : le jeu de l'évolution - Antiquité,1,10.0,10.0,10.0,0.0,1
Tiny Epic Galaxies - Beyond the Black,3,7.666666666666667,8.0,7.0,0.4714045207910317,3
Newton,22,8.227272727272727,10.0,0.0,2.0874477278554613,22
Museum,58,7.568965517241379,10.0,1.0,2.259936442236566,58
One Key,21,7.523809523809524,10.0,2.0,1.9424836242258228,21
Charafe,6,6.833333333333333,10.0,3.0,2.544056253745625,6
Teotihuacan : La Cité des Dieux,50,8.56,10.0,5.0,1.1341957503006257,50
Kluster,54,7.666666666666667,10.0,2.0,1.699673171197595,54
Jurassic World ™ Miniature Game,1,1.0,1.0,1.0,0.0,1
DIG,13,7.230769230769231,10.0,4.0,1.760849714193784,13
Burgle Bros,16,7.625,10.0,1.0,1.964529205687714,16
Blank,2,7.0,9.0,5.0,2.0,2
FAKE NEWS LIVE,1,9.0,9.0,9.0,0.0,1
Culte,25,8.44,10.0,5.0,1.2674383614203886,25
"Welcome-extension 1 -paques, guerre froide et mode solo",11,7.181818181818182,9.0,5.0,1.33608531424537,11
Sneaky Cards,7,6.714285714285714,10.0,2.0,2.249716535431946,7
Nagaraja,44,7.454545454545454,10.0,1.0,2.1154684142218354,44
Mū,21,7.523809523809524,10.0,4.0,1.3316315670580539,21
Outlaws: Last Man Standing,16,7.75,10.0,0.0,2.358495283014151,16
Médieval Pong,17,7.352941176470588,10.0,2.0,2.2476439028873885,17
Stay Cool,17,7.705882352941177,10.0,5.0,1.5629800300689909,17
Zombie Bus,22,7.636363636363637,10.0,1.0,1.9198829165402616,22
Valeria Le Royaume,48,7.75,10.0,1.0,1.865252440466616,48
