author,nb_avis,notes_moyennes,ecart-type,nb_commentaires
Enigmatik,14,7.5,0.9819805060619656,14
JaKaN,2,9.5,0.5,2
Potrick,4,6.5,2.0615528128088303,4
Joueurs Ribemontois,1,9.0,0.0,1
Fabien T,1,8.0,0.0,1
Domoz,1,9.0,0.0,1
JYNinja,12,8.5,0.6454972243679028,12
redbab,10,7.5,1.284523257866513,10
sirjuan,2,9.5,0.5,2
Epikoienkore,2,8.5,0.5,2
Nastydede,5,7.0,2.6076809620810595,5
dracer,1,10.0,0.0,1
Barbossaha,1,6.0,0.0,1
Baraban,1,10.0,0.0,1
Pyrol,1,8.0,0.0,1
pol,12,8.166666666666666,2.793842435706701,12
Selyn,1,10.0,0.0,1
Mat62370,1,7.0,0.0,1
Muckyb,2,9.0,0.0,2
Touc72,1,0.0,0.0,1
Le Guy,69,7.768115942028985,2.978886707403111,69
bleucyn73,41,7.658536585365853,1.970635109924308,41
titedelphine,4,8.75,0.82915619758885,4
geangean,1,10.0,0.0,1
cham,37,8.0,1.8599622199011083,37
cleck,44,4.181818181818182,1.8497263590341648,44
Kazgaroth,10,6.4,1.9595917942265424,10
barraie,19,8.31578947368421,1.2999041089714178,19
azds,20,5.45,2.0365411854416298,20
amazingjj,22,6.636363636363637,2.0348208441454,22
Peppette,10,6.6,2.5377155080899043,10
alandju,27,7.333333333333333,2.1081851067789192,27
Tribu 2 Dana,14,6.785714285714286,2.006367415026877,14
Ka-Cha,18,8.444444444444445,1.4229164972072998,18
laupial,16,7.5,1.3228756555322954,16
Moonlight,7,6.571428571428571,1.761261143705422,7
kaspar,23,7.478260869565218,2.1441440010326875,23
PierreYves,19,7.7894736842105265,2.1417884157237688,19
Abyss,16,6.875,1.996089927833914,16
papy bloutch,19,7.052631578947368,1.503458616535337,19
lepetitbreton,13,7.538461538461538,1.3931361750980638,13
hamster_magik,9,8.222222222222221,2.393406580948668,9
jacopo,6,7.666666666666667,2.9249881291307074,6
Kortex,10,7.8,2.6,10
renthe,10,7.6,1.4966629547095764,10
erikess,8,6.5,2.179449471770337,8
peckexcel,10,6.0,2.3664319132398464,10
XXVII,7,7.428571428571429,2.0603150145508518,7
baptiste057,2,10.0,0.0,2
Clemsoo,5,6.8,0.9797958971132712,5
jepetoxymore,7,8.0,1.5118578920369088,7
Djeece,8,7.75,2.1065374432940898,8
Ronin,4,8.0,1.4142135623730951,4
Dr Globule,6,10.0,0.0,6
Ciensinfus,5,8.0,1.2649110640673518,5
Beatrix,3,4.666666666666667,2.494438257849294,3
porci,6,7.0,2.516611478423583,6
Delvien,2,0.0,0.0,2
turlupouet,4,8.5,1.6583123951777,4
Vecteur,1,2.0,0.0,1
manucube,2,5.0,1.0,2
Aaricia,1,7.0,0.0,1
kazimir,3,8.666666666666666,1.8856180831641267,3
Glad,2,5.5,4.5,2
nathalie8742,1,10.0,0.0,1
CLB's,1,9.0,0.0,1
Nicolas Sonia,1,10.0,0.0,1
Totoflo,1,7.0,0.0,1
cemtou,2,5.5,1.5,2
Jean Vigne,1,4.0,0.0,1
philippe meyrignac,3,9.666666666666666,0.4714045207910317,3
Kwendrill,1,9.0,0.0,1
slyveul,1,6.0,0.0,1
Pinguisss,1,9.0,0.0,1
Reevenn,2,8.5,0.5,2
fiaschi84,4,9.25,0.82915619758885,4
AlexV,1,8.0,0.0,1
Pot8Pot5,1,9.0,0.0,1
JouonsaCompiegne,1,10.0,0.0,1
BlockLigne,1,10.0,0.0,1
Brigands,3,7.333333333333333,1.247219128924647,3
Edenmath,1,9.0,0.0,1
Vendredi,1,8.0,0.0,1
Tola,1,8.0,0.0,1
winterdjinn,1,1.0,0.0,1
sfifi1,1,8.0,0.0,1
Bizuu,1,10.0,0.0,1
mensonge,1,7.0,0.0,1
Elo_yoyo,2,5.0,0.0,2
Bubulle,3,5.666666666666667,0.9428090415820634,3
wawadoo,2,5.0,0.0,2
drazorback,7,6.428571428571429,0.4948716593053935,7
Rainbow500,1,5.0,0.0,1
Argo,2,7.0,0.0,2
Ithir,56,6.678571428571429,2.7065208482553422,56
Sulfur-e,33,6.787878787878788,2.2530460964171044,33
blowjobaddict,33,7.151515151515151,1.8110973087859317,33
Thran,39,6.205128205128205,2.387783943963654,39
cleobule,21,8.0,1.8516401995451028,21
Thengen,14,6.142857142857143,2.7737839769925143,14
Nathayla,17,7.176470588235294,2.2812611093723905,17
eternaldoudou,22,8.181818181818182,1.9917183909278768,22
Bencsak,5,8.4,2.33238075793812,5
jejam,9,6.0,2.6666666666666665,9
Théo,11,6.181818181818182,1.5850541612875175,11
Hésiarque,12,7.833333333333333,1.2801909579781017,12
Ubik Liryc,4,9.0,1.0,4
Giom Beuz,14,9.428571428571429,1.3997084244475306,14
Anktropia,6,7.833333333333333,1.0671873729054746,6
krka,13,7.846153846153846,2.4129826371320187,13
Ultrak,6,9.5,0.7637626158259734,6
lorenzo,17,7.176470588235294,2.382171380154893,17
UnJoueur,5,8.8,1.6,5
Nekureuil,4,8.0,1.4142135623730951,4
Shok Nar,6,8.666666666666666,1.4907119849998596,6
sir alfred,7,7.714285714285714,2.4907993963089563,7
Ook,1,6.0,0.0,1
Mitch,2,7.0,3.0,2
600xp,7,6.285714285714286,1.9794866372215736,7
Concerto,6,8.0,2.309401076758503,6
Slainj,2,10.0,0.0,2
Yno,1,10.0,0.0,1
emerickb,8,8.125,2.2043990110685496,8
Leliel,2,10.0,0.0,2
Wat,1,9.0,0.0,1
Ophiucis,2,6.0,4.0,2
Pandraghon,1,10.0,0.0,1
Erra,2,8.5,1.5,2
kevo,2,9.5,0.5,2
Agillian,2,9.0,1.0,2
chseb,1,8.0,0.0,1
manue1245,13,8.76923076923077,1.2498520622516862,13
Anthony Valnot,1,10.0,0.0,1
toonsisih,1,9.0,0.0,1
Bidouille,1,10.0,0.0,1
Agbiloba,1,10.0,0.0,1
Lactic,4,8.25,0.82915619758885,4
Joyce,1,7.0,0.0,1
massi_x,1,10.0,0.0,1
kiki33,2,9.0,0.0,2
